ORD_YMD,CENT_CD,ITEM_CD,ITEM_NM,SUM(A.CONV_QTY)
20250108,20081,123551,엔제이)마키노나쵸칩치즈50g,108
20250108,20081,123555,SAMG)위시캣발바닥모양캔디42g,320
20250108,20081,123558,농심)츄파춥스오션믹스젤리60g,"3,360"
20250108,20083,123549,해태)오사쯔빠스50g,"4,768"
20250108,20083,123558,농심)츄파춥스오션믹스젤리60g,"2,080"
20250108,20084,123549,해태)오사쯔빠스50g,"1,344"
20250108,20084,123551,엔제이)마키노나쵸칩치즈50g,144
20250108,20084,123555,SAMG)위시캣발바닥모양캔디42g,400
20250108,20084,123558,농심)츄파춥스오션믹스젤리60g,"1,280"
20250108,20085,123549,해태)오사쯔빠스50g,"2,880"
20250108,20085,123558,농심)츄파춥스오션믹스젤리60g,"2,800"
20250108,20091,123549,해태)오사쯔빠스50g,"1,120"
20250108,20091,123551,엔제이)마키노나쵸칩치즈50g,252
20250108,20091,123555,SAMG)위시캣발바닥모양캔디42g,480
20250108,20091,123558,농심)츄파춥스오션믹스젤리60g,"2,080"
20250109,20007,123724,크라운)산도밤티라미수161g,480
20250109,20010,123558,농심)츄파춥스오션믹스젤리60g,320
20250109,20010,123724,크라운)산도밤티라미수161g,480
20250109,20017,123551,엔제이)마키노나쵸칩치즈50g,108
20250109,20017,123555,SAMG)위시캣발바닥모양캔디42g,160
20250109,20017,123558,농심)츄파춥스오션믹스젤리60g,560
20250109,20017,123724,크라운)산도밤티라미수161g,720
20250109,20033,123555,SAMG)위시캣발바닥모양캔디42g,80
20250109,20049,123724,크라운)산도밤티라미수161g,156
20250109,20050,123724,크라운)산도밤티라미수161g,480
20250109,20075,123549,해태)오사쯔빠스50g,640
20250109,20075,123555,SAMG)위시캣발바닥모양캔디42g,160
20250109,20075,123558,농심)츄파춥스오션믹스젤리60g,480
20250109,20075,123724,크라운)산도밤티라미수161g,480
20250109,20079,123724,크라운)산도밤티라미수161g,600
20250109,20080,123724,크라운)산도밤티라미수161g,420
20250109,20081,123724,크라운)산도밤티라미수161g,456
20250109,20083,123724,크라운)산도밤티라미수161g,228
20250109,20085,123549,해태)오사쯔빠스50g,480
20250109,20085,123555,SAMG)위시캣발바닥모양캔디42g,80
20250109,20085,123724,크라운)산도밤티라미수161g,540
20250109,20091,123558,농심)츄파춥스오션믹스젤리60g,160
20250109,20091,123724,크라운)산도밤티라미수161g,264
20250110,20006,123557,SAMG)하츄핑의4D젤리42g,"2,040"
20250110,20006,123608,오츠카)소이조이후르츠&치즈30g,"2,064"
20250110,20006,123609,오츠카)소이조이마카다미아&레몬25g,"1,968"
20250110,20006,123629,G)LOOK초콜릿(네가지과일)44g,"14,400"
20250110,20006,123638,농심)후르츠텔라48g,"3,024"
20250110,20006,123642,삼경)필러즈미스터리큐브46g,"1,408"
20250110,20006,123724,크라운)산도밤티라미수161g,"1,200"
20250110,20007,123557,SAMG)하츄핑의4D젤리42g,"2,220"
20250110,20007,123608,오츠카)소이조이후르츠&치즈30g,"2,208"
20250110,20007,123609,오츠카)소이조이마카다미아&레몬25g,"2,112"
20250110,20007,123629,G)LOOK초콜릿(네가지과일)44g,"7,200"
20250110,20007,123638,농심)후르츠텔라48g,"3,264"
20250110,20007,123642,삼경)필러즈미스터리큐브46g,"1,408"
20250110,20007,123724,크라운)산도밤티라미수161g,240
20250110,20010,123557,SAMG)하츄핑의4D젤리42g,"2,760"
20250110,20010,123558,농심)츄파춥스오션믹스젤리60g,400
20250110,20010,123608,오츠카)소이조이후르츠&치즈30g,"2,736"
20250110,20010,123609,오츠카)소이조이마카다미아&레몬25g,"2,640"
20250110,20010,123629,G)LOOK초콜릿(네가지과일)44g,"10,400"
20250110,20010,123638,농심)후르츠텔라48g,"4,080"
20250110,20010,123642,삼경)필러즈미스터리큐브46g,"1,792"
20250110,20017,123555,SAMG)위시캣발바닥모양캔디42g,240
20250110,20017,123557,SAMG)하츄핑의4D젤리42g,"1,320"
20250110,20017,123558,농심)츄파춥스오션믹스젤리60g,480
20250110,20017,123608,오츠카)소이조이후르츠&치즈30g,"1,296"
20250110,20017,123609,오츠카)소이조이마카다미아&레몬25g,"1,248"
20250110,20017,123629,G)LOOK초콜릿(네가지과일)44g,"4,800"
20250110,20017,123638,농심)후르츠텔라48g,"1,920"
20250110,20017,123641,선우)O△□동결건조젤리13g,256
20250110,20017,123642,삼경)필러즈미스터리큐브46g,896
20250110,20017,123723,크라운)헬로키티스트로베리콘60g,32
20250110,20017,123724,크라운)산도밤티라미수161g,108
20250110,20033,123557,SAMG)하츄핑의4D젤리42g,540
20250110,20033,123608,오츠카)소이조이후르츠&치즈30g,576
20250110,20033,123609,오츠카)소이조이마카다미아&레몬25g,528
20250110,20033,123629,G)LOOK초콜릿(네가지과일)44g,"4,800"
20250110,20033,123638,농심)후르츠텔라48g,816
20250110,20033,123642,삼경)필러즈미스터리큐브46g,512
20250110,20033,123724,크라운)산도밤티라미수161g,228
20250110,20034,123557,SAMG)하츄핑의4D젤리42g,"2,820"
20250110,20034,123608,오츠카)소이조이후르츠&치즈30g,"2,832"
20250110,20034,123609,오츠카)소이조이마카다미아&레몬25g,"2,688"
20250110,20034,123629,G)LOOK초콜릿(네가지과일)44g,"12,000"
20250110,20034,123638,농심)후르츠텔라48g,"4,176"
20250110,20034,123642,삼경)필러즈미스터리큐브46g,"1,792"
20250110,20034,123724,크라운)산도밤티라미수161g,960
20250110,20049,123557,SAMG)하츄핑의4D젤리42g,"1,500"
20250110,20049,123608,오츠카)소이조이후르츠&치즈30g,"1,488"
20250110,20049,123609,오츠카)소이조이마카다미아&레몬25g,"1,392"
20250110,20049,123629,G)LOOK초콜릿(네가지과일)44g,"7,200"
20250110,20049,123638,농심)후르츠텔라48g,"2,160"
20250110,20049,123642,삼경)필러즈미스터리큐브46g,"1,024"
20250110,20049,123724,크라운)산도밤티라미수161g,540
20250110,20050,123557,SAMG)하츄핑의4D젤리42g,"2,100"
20250110,20050,123608,오츠카)소이조이후르츠&치즈30g,"2,112"
20250110,20050,123609,오츠카)소이조이마카다미아&레몬25g,"2,016"
20250110,20050,123629,G)LOOK초콜릿(네가지과일)44g,"7,200"
20250110,20050,123638,농심)후르츠텔라48g,"3,120"
20250110,20050,123642,삼경)필러즈미스터리큐브46g,"1,408"
20250110,20050,123724,크라운)산도밤티라미수161g,300
20250110,20065,123555,SAMG)위시캣발바닥모양캔디42g,80
20250110,20065,123557,SAMG)하츄핑의4D젤리42g,"1,320"
20250110,20065,123558,농심)츄파춥스오션믹스젤리60g,240
20250110,20065,123608,오츠카)소이조이후르츠&치즈30g,"1,344"
20250110,20065,123609,오츠카)소이조이마카다미아&레몬25g,"1,248"
20250110,20065,123629,G)LOOK초콜릿(네가지과일)44g,"7,200"
20250110,20065,123638,농심)후르츠텔라48g,"1,968"
20250110,20065,123641,선우)O△□동결건조젤리13g,128
20250110,20065,123642,삼경)필러즈미스터리큐브46g,896
20250110,20065,123724,크라운)산도밤티라미수161g,408
20250110,20075,123557,SAMG)하츄핑의4D젤리42g,"1,860"
20250110,20075,123558,농심)츄파춥스오션믹스젤리60g,400
